horizon_days,target,repetition,model_id,architecture,wall_seconds,batch_size,resource,gpu_count,supporting_cpu_cores,slurm_job_id,target_date
7,ET,160,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1986958123743534,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,161,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19862725120037794,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,162,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19827692955732346,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,163,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19838882330805063,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,164,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19907341990619898,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,165,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19872491899877787,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,166,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19900370575487614,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,167,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19809583947062492,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,168,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19743521977216005,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,169,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19746639858931303,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,170,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19791772682219744,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,171,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19785424508154392,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,172,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19415043201297522,1,NVIDIA A40,1,8,6499038,2020-07-01
